"CONTROL","DISTANCEONLY","TUITFTE","ADM_RATE_ALL","C150_4","DEBT_MDN","NPT4_PUB","NPT4_PRIV","SAT_AVG","PCTFLOAN","UGDS"
3,0,15277,0.7167,0.46545,9833,8792,9883,1036.5,0.6667,11
3,0,6335,0.7167,0.46545,11225,8792,10304,1036.5,0.6863,34
2,0,14773,1,0.4444,9833,8792,1539,1036.5,0.3396,89
3,0,8461,0.7167,0.46545,12000,8792,6956,1036.5,0.9333,21
3,0,6329,0.7167,0.7413,9500,8792,13742,1036.5,0.9725,177
3,0,4871,0.7167,0.46545,9833,8792,9435,1036.5,0.7907,32
2,0,4144,0.3846,0.46545,9833,8792,9231,1036.5,0.45,17
3,0,12349,0.7167,0.46545,9833,8792,10166,1036.5,0.56,21
3,0,7615,0.7167,0.46545,6861,8792,10760,1036.5,0.477,150
3,0,7987,0.7167,0.46545,6332,8792,11157,1036.5,0.9098,103
3,0,5755,0.7167,0.46545,12500,8792,10266,1036.5,0.66,63
3,0,7166,0.7167,0.46545,7562,8792,13061,1036.5,0.4337,141
3,0,6548,0.7167,0.46545,7721,8792,12488,1036.5,0.5814,190
3,0,6461,0.7167,0.46545,10699,8792,8313,1036.5,0.5889,54
3,0,6814,0.7167,0.46545,6755,8792,8114,1036.5,0.6628,68
3,0,5795,0.7167,0.46545,7159.5,8792,9195,1036.5,0.5233,46
3,0,3852,0.7167,0.46545,9500,8792,14065,1036.5,0.5708,111
2,0,6632,0.7167,0.3077,4750,8792,7157,1036.5,0.2925,419
3,0,4784,0.7167,0.46545,9619,8792,12943,1036.5,0.7857,77
3,0,6202,0.7167,0.46545,9833,8792,8551,1036.5,0.1979,37
3,0,7419,0.7167,0.46545,9702,8792,10296,1036.5,0.9529,48
2,0,7142,0.4502,0.3164,6700,8792,9014,990,0.6727,617
3,0,6408,0.7167,0.46545,3465,8792,8740,1036.5,0.2162,93
2,0,2121,0.3401,0.6167,5496.5,8792,1776,1113,0.2262,1587
3,0,8644,0.7167,0.46545,7475,8792,6938,1036.5,0.5222,372
2,0,11572,0.45,0.2979,12146.5,8792,12172,1010,0.832,869
2,0,3924,0.7167,0.6154,9833,8792,6191,1036.5,0,136
3,0,7814,0.7167,0.46545,12000,8792,9874,1036.5,0.6101,278
3,0,3205,0.7167,0.46545,9833,8792,1435,1036.5,0.1154,29
3,0,6014,0.7167,0.46545,6333,8792,10865,1036.5,0.6154,74
3,0,6977,0.7167,0.46545,7224,8792,5137,1036.5,0,26
3,0,9202,0.7167,0.46545,9500,8792,9496,1036.5,0.7099,132
2,0,7117,0.5075,0.7778,9833,8792,9746,930,0.3929,73
3,0,3372,0.7167,0.46545,9833,8792,8381,1036.5,0,18
3,0,2209,0.7167,0.46545,9833,8792,6409,1036.5,0,73
3,0,6540,0.7167,0.46545,6392.5,8792,11434,1036.5,0.6275,107
3,0,7452,0.7167,0.46545,7392,8792,12055,1036.5,0.6993,168
3,0,7450,0.7167,0.46545,6569,8792,12096,1036.5,0.7136,123
3,0,7540,0.7167,0.46545,6406,8792,11300,1036.5,0.723,165
3,0,3687,0.7167,0.46545,5129,8792,11987,1036.5,0.8409,95
3,0,3202,0.7167,0.46545,9500,8792,13543,1036.5,0.6634,85
3,0,12470,0.7167,0.46545,3881,8792,9349,1036.5,0.1981,23
3,0,5563,0.7167,0.46545,9833,8792,2350,1036.5,0,51
3,0,5615,0.7167,0.46545,9833,8792,8308,1036.5,0,58
3,0,6478,0.7167,0.46545,5500,8792,9300,1036.5,0.4252,91
3,0,11682,0.7167,0.46545,9500,8792,12291,1036.5,0.8816,62
3,0,10657,0.7167,0.46545,9833,8792,4185,1036.5,0,36
3,0,7911,0.7167,0.46545,9833,8792,8874,1036.5,0,76
3,0,3088,0.7167,0.46545,3500,8792,8217,1036.5,0.2388,42
2,0,8282,0.7423,0.4251,11750,8792,11611,968,0.589,1081
3,0,185,0.7167,0.46545,9833,8792,10089,1036.5,0.4286,14
3,0,93,0.7167,0.46545,2831.5,8792,8421,1036.5,0.7826,25
3,0,5301,0.7167,0.46545,9833,8792,9331,1036.5,0,28
3,0,2811,0.7167,0.46545,9833,8792,5463,1036.5,0.9545,28
3,0,2879,0.7167,0.46545,9833,8792,9733,1036.5,0,75
3,0,9411,0.7167,0.46545,13500,8792,12339,1036.5,0.6941,107
3,0,3050,0.7167,0.46545,5500,8792,12830,1036.5,0.377,41
3,0,5815,0.7167,0.46545,8208,8792,13709,1036.5,0.7409,461
2,0,6923,0.4545,0.46545,10269,8792,12126,1010,0.8203,178
3,0,8204,0.7167,0.46545,6406,8792,13109,1036.5,0.6692,314
3,0,10372,0.7167,0.46545,6333,8792,11871,1036.5,0.5731,245
3,0,9125,0.7167,0.46545,5701,8792,9385,1036.5,0.6867,39
3,0,5121,0.7167,0.46545,7500,8792,14065,1036.5,0.7138,170
3,0,2701,0.7167,0.46545,5500,8792,11038,1036.5,0.9692,72
3,0,2370,0.7167,0.46545,4780,8792,11885,1036.5,0.9545,30
3,0,5959,0.7167,0.46545,3750,8792,12738,1036.5,0.5513,134
2,0,517,0.8154,0.3061,9833,8792,8675,1036.5,0,340
3,0,6185,0.7167,0.46545,5500,8792,14455,1036.5,0.6869,374
3,0,3965,0.7167,0.46545,6995,8792,12056,1036.5,0.9141,101
3,1,9813,0.7167,1,12450,8792,11406,1036.5,0.3215,918
3,0,6655,0.7167,0.46545,5500,8792,13755,1036.5,0.6848,171
3,0,8076,0.7167,0.46545,7116.5,8792,12307,1036.5,0.625,105
3,0,10571,0.7167,0.46545,5500,8792,10578,1036.5,0.8841,30
3,0,4880,0.7167,0.46545,5500,8792,12034,1036.5,0.8902,46
3,0,6421,0.7167,0.46545,5500,8792,11140,1036.5,1,102
3,0,8644,0.7167,0.46545,5500,8792,13585,1036.5,0.41,60
3,0,11643,0.7167,0.46545,6788,8792,11438,1036.5,0.5133,91
3,0,7951,0.7167,0.46545,7017,8792,12820,1036.5,0.4775,37
3,0,4071,0.7167,0.46545,4304,8792,5549,1036.5,0.4217,35
2,0,8048,0.7167,0.1404,11666.5,8792,12105,1036.5,0.7344,2726
2,0,8639,0.7167,0.113,11666.5,8792,11710,1036.5,0.7651,4886
3,0,3612,0.7167,0.46545,9833,8792,3502,1036.5,0,41
3,0,3257,0.7167,0.46545,9833,8792,6796,1036.5,0,39
3,0,9070,0.7167,0.46545,8224.5,8792,13376,1036.5,0.7168,241
3,0,8049,0.7167,0.46545,6837,8792,12750,1036.5,0.6684,365
3,0,7348,0.7167,0.46545,7500,8792,12431,1036.5,0.5636,225
3,0,1233,0.75,0.46545,12135,8792,4823,1036.5,0.5934,56
2,0,8846,0.7486,0.4878,6700.5,8792,12770,1036.5,0.8135,576
3,0,716,0.7167,0.46545,9833,8792,1223,1036.5,0,84
3,0,2732,0.7167,0.46545,4902,8792,6485,1036.5,0.8392,117
3,0,8878,0.7167,0.46545,6500,8792,2413,1036.5,0.4275,82
