"OPEID","INSTNM","CITY","STABBR","ZIP","CONTROL","DISTANCEONLY","TUITFTE","ADM_RATE_ALL","C150_4","DEBT_MDN","NPT4_PUB","NPT4_PRIV","SAT_AVG","PCTFLOAN","UGDS"
2056500,"Mitchells Hairstyling Academy-Wilson","Wilson","NC","27893",3,0,3345,0.7167,0.46545,5500,8792,5756,1036.5,0.25,39
4115700,"Regina's College of Beauty-Monroe","Monroe","NC","28110",3,0,5120,0.7167,0.46545,8500,8792,10278,1036.5,1,43
2205000,"College of Wilmington","Wilmington","NC","28403",3,0,5910,0.7167,0.46545,6650,8792,12038,1036.5,0.8564,182
1179900,"Paul Mitchell the School-Fayetteville","Fayetteville","NC","28303-5364",3,0,8277,0.7167,0.46545,9500,8792,13480,1036.5,0.5278,189
945908,"Empire Beauty School-Matthews","Matthews","NC","28105",3,0,9530,0.7167,0.46545,6406,8792,13183,1036.5,0.7234,97
3570300,"Carolina Christian College","Winston Salem","NC","27105",2,0,4279,0.7167,0.46545,9833,8792,5718,1036.5,1,36
3009500,"Winston Salem Barber School","Winston Salem","NC","27127",3,0,395,0.7167,0.46545,9833,8792,6394,1036.5,0,60
1040600,"Josef's School of Hair Design Inc-Grand Forks","Grand Forks","ND","58201",3,0,5026,0.7167,0.46545,8780.5,8792,11747,1036.5,0.6667,69
2298200,"Headquarters Academy of Hair Design Inc","Minot","ND","58701-3914",3,0,3386,0.7167,0.46545,8299.5,8792,8113,1036.5,0.5844,53
775600,"Josef's School of Hair Design Inc-Fargo Downtown","Fargo","ND","58102",3,0,3567,0.7167,0.46545,12000,8792,10724,1036.5,0.6963,63
3087200,"Moler Barber College","Fargo","ND","58103-1805",3,0,928,0.7167,0.46545,9833,8792,8739,1036.5,0.4545,7
1229500,"JZ Trend Academy Paul Mitchell Partner School","Bismarck","ND","58504",3,0,8290,0.7167,0.46545,9994.5,8792,13815,1036.5,0.2547,56
2301100,"Turtle Mountain Community College","Belcourt","ND","58316",2,0,433,0.7167,0.2119,9833,8792,3854,1036.5,0,537
2242900,"United Tribes Technical College","Bismarck","ND","58504",2,0,4195,0.7167,0.1765,6082,8792,6285,1036.5,0.3738,486
3079000,"ETI Technical College","Niles","OH","44446-4398",3,0,2728,0.7167,0.46545,11875,8792,10425,1036.5,0.8261,161
3457300,"Allegheny Wesleyan College","Salem","OH","44460-9598",2,0,5635,0.7167,0.5385,9833,8792,5336,1036.5,0.5652,37
3416400,"Valley Beauty School","Zanesville","OH","43701",3,0,3024,0.7167,0.46545,9833,8792,7436,1036.5,0.775,19
1267400,"Carousel of Miami Valley Beauty College","Huber Heights","OH","45424",3,0,2076,0.7167,0.46545,9833,8792,13165,1036.5,0.5429,34
1088000,"Chatfield College","Saint Martin","OH","45118-9705",2,0,9272,0.7167,0.46545,8488,8792,8497,1036.5,0.7529,325
2145100,"Scott College of Cosmetology","Wheeling","WV","26003",3,0,8280,0.7167,0.46545,5900,8792,5642,1036.5,0.4205,99
2110700,"Cleveland Institute of Dental-Medical Assistants-Cleveland","Cleveland","OH","44115-2285",3,0,2675,0.7167,0.46545,9500,8792,9343,1036.5,0.8253,113
3116200,"Dayton Barber College","Miamisburg","OH","45342",3,0,4644,0.7167,0.46545,9833,8792,8297,1036.5,0,57
953000,"Gerbers Akron Beauty School","Akron","OH","44313",3,0,3405,0.7167,0.46545,9833,8792,6748,1036.5,0.037,67
2220500,"Gods Bible School and College","Cincinnati","OH","45202-6838",2,0,5246,1,0.3929,4964.5,8792,8975,1036.5,0.1677,259
2560000,"Casal Aveda Institute","Austintown","OH","44515",3,0,8326,1,0.46545,10250,8792,9827,1036.5,0.6055,156
1284800,"Moler Hollywood Beauty Academy","Cincinnati","OH","45213",3,0,8942,0.7167,0.46545,8687.5,8792,7343,1036.5,0.9565,80
1174400,"National Beauty College","Canton","OH","44709-1837",3,0,8794,0.7167,0.46545,9125,8792,11880,1036.5,0.5634,78
1063000,"Northern Institute of Cosmetology","Lorain","OH","44052-1803",3,0,5196,0.7167,0.46545,9833,8792,4624,1036.5,0,33
1028000,"Ohio State Beauty Academy","Lima","OH","45807",3,0,5151,0.7167,0.46545,7405,8792,6586,1036.5,0.7878,171
2066100,"Ohio State College of Barber Styling","Columbus","OH","43213",3,0,82,0.7167,0.46545,5750,8792,9499,1036.5,0.8893,142
2519300,"Ohio State School of Cosmetology-Canal Winchester","CANAL WINCHESTER","OH","43110",3,0,9281,0.7167,0.46545,5758,8792,13496,1036.5,0.6894,89
3100100,"Paramount Beauty Academy","Portsmouth","OH","45662-4527",3,0,8339,0.7167,0.46545,11250,8792,10776,1036.5,0.619,101
311500,"Rabbinical College Telshe","Wickliffe","OH","44092",2,0,6472,0.875,0.3333,9833,8792,5840,1036.5,0,56
2287900,"Raphael's School of Beauty Culture Inc-Niles","Niles","OH","44446",3,0,4837,0.7167,0.46545,5500,8792,9002,1036.5,0.5686,145
966000,"Tiffin Academy of Hair Design","Tiffin","OH","44883",3,0,7840,0.7167,0.46545,6516,8792,9288,1036.5,0.8387,42
3024300,"Valley Beauty School","Cambridge","OH","43725",3,0,2949,0.7167,0.46545,9833,8792,2330,1036.5,0.7073,29
2256200,"Broken Arrow Beauty College-Broken Arrow","Broken Arrow","OK","74012",3,0,5332,0.7167,0.46545,9500,8792,10198,1036.5,0.6164,90
2581100,"Claremore Beauty College","Claremore","OK","74017",3,0,3165,0.7167,0.46545,9833,8792,4551,1036.5,0.84,17
970800,"Eves College of Hairstyling","Lawton","OK","73501",3,0,8220,0.7167,0.46545,7151,8792,10934,1036.5,0.6981,86
2197300,"Hollywood Cosmetology Center","Norman","OK","73069",3,0,3010,0.7167,0.46545,9833,8792,9916,1036.5,0,17
2510300,"Beauty Technical College Inc","Tahlequah","OK","74465",3,0,4653,0.7167,0.46545,9833,8792,4821,1036.5,0.1385,24
3030700,"Oklahoma School of Photography","Moore","OK","73160",3,0,8655,0.7167,0.46545,8328,8792,13463,1036.5,0.9107,44
3103800,"Southern School of Beauty Inc","Durant","OK","74701-5008",3,0,8005,0.7167,0.46545,9833,8792,1500,1036.5,0.9091,30
791100,"Virgil's Beauty College","Muskogee","OK","74401-6802",3,0,4717,0.7167,0.46545,9833,8792,5481,1036.5,0,32
1050700,"Academy of Hair Design-Salem","Salem","OR","97301",3,0,3739,0.7167,0.46545,9736,8792,10839,1036.5,1,56
2154400,"Beau Monde College of Hair Design","Portland","OR","97205",3,0,8478,0.7167,0.46545,9500,8792,8653,1036.5,0.5928,126
2337900,"College of Hair Design Careers","Salem","OR","97301-1952",3,0,7992,0.7167,0.46545,12000,8792,7650,1036.5,0.5098,68
2201900,"Phagans School of Hair Design-Portland","Portland","OR","97232",3,0,10100,0.7167,0.46545,12000,8792,8900,1036.5,0.8063,132
3185300,"Phagans Grants Pass College of Beauty","Grants Pass","OR","97526",3,0,12847,0.7167,0.46545,9321,8792,7767,1036.5,0.9067,39
2101002,"Northwest College-Beaverton","Beaverton","OR","97005",3,0,6784,0.7167,0.46545,13250,8792,13599,1036.5,0.7945,100
1012200,"Phagans Medford Beauty School","Medford","OR","97504",3,0,13570,0.7167,0.46545,9032,8792,8163,1036.5,0.931,67
2101000,"Northwest College-Clackamas","Clackamas","OR","97086",3,0,5620,0.7167,0.46545,13250,8792,12943,1036.5,0.3574,141
2578800,"Northwest Nannies Institute","Lake Oswego","OR","97035",3,0,6927,0.8,0.46545,9833,8792,10815,1036.5,0.65,21
1234800,"Phagans Beauty College","Corvallis","OR","97333",3,0,15139,0.7167,0.46545,12000,8792,7874,1036.5,0.9186,53
1234700,"Phagans Central Oregon Beauty College","Bend","OR","97701",3,0,12930,0.7167,0.46545,8971,8792,7823,1036.5,0.803,133
1235100,"Phagans School of Beauty","Salem","OR","97301",3,0,13952,0.7167,0.46545,12000,8792,8200,1036.5,0.8776,49
1235000,"Phagans School of Hair Design","Happy Valley","OR","97086",3,0,8678,0.7167,0.46545,11019,8792,10396,1036.5,0.7277,176
2344100,"Roseburg Beauty College","Roseburg","OR","97470",3,0,4776,0.7167,0.46545,9500,8792,6976,1036.5,0.6364,40
958100,"Springfield College of Beauty","Springfield","OR","97477",3,0,6002,0.7167,0.46545,9500,8792,8771,1036.5,0.6429,69
2106100,"College of Cosmetology","Klamath Falls","OR","97601-3233",3,0,6089,0.7167,0.46545,11946,8792,7820,1036.5,0.6897,93
2178900,"Jolie Hair and Beauty Academy-Hazleton","Hazleton","PA","18201",3,0,10738,0.7167,0.46545,7589,8792,13082,1036.5,0.7286,97
322800,"Bryn Athyn College of the New Church","Bryn Athyn","PA","19009-0717",2,0,7331,0.5177,0.5854,10863,8792,13167,1028,0.7284,269
2495500,"All-State Career School-Lester","Lester","PA","19029",3,0,7998,0.7167,0.46545,6333,8792,12297,1036.5,0.5969,343
2290400,"Altoona Beauty School Inc","Altoona","PA","16602-6039",3,0,5141,0.7167,0.46545,4750,8792,7234,1036.5,0.7576,68
2609500,"Career Training Academy-New Kensington","New Kensington","PA","15068-6308",3,0,3402,0.7167,0.46545,9499,8792,11500,1036.5,0.6386,163
1162100,"Automotive Training Center-Exton","Exton","PA","19341-1310",3,0,10817,0.7167,0.46545,14680,8792,11649,1036.5,0.7195,354
2270500,"Buck's County School of Beauty Culture Inc","Feasterville","PA","19053-7368",3,0,12801,0.7167,0.46545,8028,8792,4142,1036.5,0.5607,89
2304400,"YTI Career Institute-Capital Region","Mechanicsburg","PA","17055",3,0,9069,0.7167,0.46545,9500,8792,5504,1036.5,0.7837,109
2289600,"Consolidated School of Business-York","York","PA","17404",3,0,12095,0.7167,0.46545,9834,8792,10668,1036.5,0.8706,107
325100,"Curtis Institute of Music","Philadelphia","PA","19103",2,0,3788,0.0484,1,9833,8792,2584,1036.5,0.464,122
1260607,"Empire Beauty School-State College","State College","PA","16801",3,0,9094,0.7167,0.46545,8100,8792,13484,1036.5,0.6351,39
966408,"Empire Beauty School-Lancaster","Lancaster","PA","17603",3,0,9210,0.7167,0.46545,5781,8792,13772,1036.5,0.5618,112
966411,"Empire Beauty School-Shamokin Dam","Shamokin Dam","PA","17876",3,0,9748,0.7167,0.46545,5781,8792,13487,1036.5,0.5287,50
1260600,"Empire Beauty School-Pottsville","Pottsville","PA","17901",3,0,9632,0.7167,0.46545,8100,8792,12931,1036.5,0.7209,57
489400,"Erie Business Center-Erie","Erie","PA","16501",3,0,11467,0.9514,0.46545,9586.5,8792,8505,1036.5,0.903,208
966412,"Empire Beauty School-Exton","Exton","PA","19341",3,0,9531,0.7167,0.46545,5781,8792,13961,1036.5,0.6176,90
2112200,"Great Lakes Institute of Technology","Erie","PA","16509-2482",3,0,9555,0.7167,0.46545,9500,8792,11556,1036.5,0.9566,453
2212700,"Lancaster School of Cosmetology","Lancaster","PA","17602",3,0,10115,0.7167,0.46545,3666,8792,12992,1036.5,0.5595,195
2292700,"Lansdale School of Cosmetology Inc","Lansdale","PA","19446-2003",3,0,5298,0.7167,0.46545,6952,8792,12098,1036.5,0.3571,68
2118000,"Levittown Beauty Academy","Levittown","PA","19054",3,0,7079,0.7167,0.46545,8028,8792,14324,1036.5,0.9304,84
489401,"Erie Business Center-New Castle","New Castle","PA","16101-3950",3,0,6321,0.9514,0.46545,9586.5,8792,5439,1036.5,0.7903,78
